campaign,creative,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency
campaign_183,creative_463,1,74.07,1.000,74.07
campaign_361,creative_851,1,74.07,1.000,74.07
campaign_586,creative_1354,7,74.03,1.000,10.58
campaign_370,creative_870,1,73.98,1.000,73.98
campaign_46,creative_142,1,73.98,1.000,73.98
campaign_51,creative_151,1,73.98,1.000,73.98
campaign_189,creative_332,1,73.97,1.000,73.97
campaign_323,creative_769,1,73.97,1.000,73.97
campaign_384,creative_889,2,73.94,1.000,36.97
campaign_350,creative_824,4,73.85,1.000,18.46
campaign_140,creative_359,4,73.80,1.000,18.45
campaign_345,creative_815,1,73.76,1.000,73.76
campaign_101,creative_133,1,73.76,1.000,73.76
campaign_557,creative_1273,7,73.68,1.000,10.53
campaign_171,creative_463,17,73.58,1.000,4.33
campaign_262,creative_631,1,73.47,1.000,73.47
campaign_242,creative_593,2,73.35,1.000,36.67
campaign_15,creative_35,2,73.26,1.000,36.63
campaign_202,creative_523,8,73.11,1.000,9.14
campaign_531,creative_1212,2,73.09,1.000,36.54
campaign_139,creative_326,2,73.09,1.000,36.54
campaign_306,creative_502,5,72.85,1.000,14.57
campaign_526,creative_1198,2,72.76,1.000,36.38
campaign_472,creative_1094,6,72.76,1.000,12.13
campaign_371,creative_870,2,72.74,1.000,36.37
campaign_336,creative_796,9,72.65,1.000,8.07
campaign_358,creative_853,6,72.55,1.000,12.09
campaign_418,creative_954,5,72.55,1.000,14.51
campaign_321,creative_764,8,72.53,1.000,9.07
campaign_103,creative_275,2,72.36,1.000,36.18
campaign_105,creative_277,1,72.21,1.000,72.21
campaign_42,creative_133,3,72.15,1.000,24.05
campaign_41,creative_131,24,72.05,1.000,3.00
campaign_170,creative_456,2,72.00,1.000,36.00
campaign_268,creative_641,2,71.97,1.000,35.99
campaign_62,creative_187,4,71.93,1.000,17.98
campaign_192,creative_343,2,71.93,1.000,35.97
campaign_201,creative_521,2,71.78,1.000,35.89
campaign_405,creative_929,4,71.71,1.000,17.93
campaign_380,creative_883,1,71.69,1.000,71.69
campaign_372,creative_844,47,71.66,1.000,1.52
campaign_437,creative_990,5,71.59,1.000,14.32
campaign_388,creative_906,2,71.59,1.000,35.80
campaign_429,creative_969,1,71.56,1.000,71.56
campaign_515,creative_1169,4,71.36,1.000,17.84
campaign_155,creative_419,1,71.32,1.000,71.32
campaign_119,creative_316,1,71.32,1.000,71.32
campaign_59,creative_177,1,71.32,1.000,71.32
campaign_436,creative_1009,2,71.32,1.000,35.66
campaign_69,creative_201,1,71.32,1.000,71.32
campaign_37,creative_88,2,71.32,0.500,35.66
campaign_560,creative_1295,1,71.32,1.000,71.32
campaign_138,creative_359,1,71.32,1.000,71.32
campaign_204,creative_521,7,71.23,1.000,10.18
campaign_565,creative_1311,3,71.16,0.667,23.72
campaign_124,creative_329,4,71.16,0.333,17.79
campaign_7,creative_20,2,71.16,1.000,35.58
campaign_554,creative_1275,2,71.16,1.000,35.58
campaign_201,creative_324,2,71.16,1.000,35.58
campaign_302,creative_720,10,70.98,1.000,7.10
campaign_540,creative_1225,4,70.96,1.000,17.74
campaign_76,creative_225,24,70.93,1.000,2.96
campaign_110,creative_289,2,70.92,1.000,35.46
campaign_281,creative_674,4,70.89,1.000,17.72
campaign_361,creative_852,4,70.87,1.000,17.72
campaign_475,creative_1102,4,70.85,0.750,17.71
campaign_557,creative_1284,2,70.77,1.000,35.39
campaign_354,creative_833,9,70.77,1.000,7.86
campaign_136,creative_357,13,70.68,1.000,5.44
campaign_70,creative_202,4,70.36,1.000,17.59
campaign_315,creative_498,5,70.34,1.000,14.07
campaign_453,creative_325,3,70.23,1.000,23.41
campaign_316,creative_749,9,70.20,1.000,7.80
campaign_74,creative_216,2,70.12,1.000,35.06
campaign_272,creative_648,1,70.09,1.000,70.09
campaign_169,creative_455,1,70.04,1.000,70.04
campaign_88,creative_34,1,70.04,1.000,70.04
campaign_168,creative_454,1,70.04,1.000,70.04
campaign_590,creative_1362,3,70.01,1.000,23.34
campaign_302,creative_718,15,69.91,1.000,4.66
campaign_142,creative_368,2,69.84,1.000,34.92
campaign_141,creative_350,2,69.84,1.000,34.92
campaign_148,creative_378,3,69.84,0.500,23.28
campaign_555,creative_1276,2,69.84,1.000,34.92
campaign_130,creative_339,2,69.84,1.000,34.92
campaign_219,creative_559,4,69.84,0.500,17.46
campaign_106,creative_279,14,69.71,1.000,4.98
campaign_141,creative_358,2,69.68,1.000,34.84
campaign_142,creative_369,2,69.68,1.000,34.84
campaign_122,creative_330,2,69.68,1.000,34.84
campaign_191,creative_525,2,69.68,1.000,34.84
campaign_3,creative_7,2,69.68,1.000,34.84
campaign_124,creative_324,3,69.68,0.667,23.23
campaign_220,creative_560,3,69.68,0.667,23.23
campaign_27,creative_74,2,69.68,1.000,34.84
campaign_546,creative_1250,2,69.68,1.000,34.84
campaign_188,creative_516,2,69.68,1.000,34.84
campaign_276,creative_657,2,69.68,1.000,34.84
campaign_564,creative_1313,2,69.68,1.000,34.84
campaign_34,creative_94,2,69.68,1.000,34.84
campaign_63,creative_192,2,69.68,1.000,34.84
campaign_240,creative_591,2,69.64,1.000,34.82
campaign_315,creative_497,12,69.60,0.917,5.80
campaign_417,creative_953,2,69.58,1.000,34.79
campaign_388,creative_900,2,69.58,1.000,34.79
campaign_153,creative_404,3,69.53,1.000,23.18
campaign_251,creative_605,2,69.52,1.000,34.76
campaign_454,creative_524,3,69.52,1.000,23.17
campaign_318,creative_753,5,69.47,0.800,13.89
campaign_150,creative_382,8,69.34,1.000,8.67
campaign_337,creative_456,2,69.27,1.000,34.63
campaign_132,creative_340,2,69.05,1.000,34.52
campaign_186,creative_515,16,69.04,1.000,4.32
campaign_285,creative_649,1,69.02,1.000,69.02
campaign_5,creative_5,4,68.83,1.000,17.21
campaign_95,creative_268,1,68.77,1.000,68.77
campaign_569,creative_1329,1,68.75,1.000,68.75
campaign_107,creative_283,1,68.68,1.000,68.68
campaign_43,creative_137,1,68.68,1.000,68.68
campaign_379,creative_879,1,68.68,1.000,68.68
campaign_366,creative_860,4,68.66,0.750,17.17
campaign_321,creative_760,2,68.66,1.000,34.33
campaign_42,creative_135,3,68.65,1.000,22.88
campaign_314,creative_510,3,68.64,1.000,22.88
campaign_186,creative_514,10,68.59,1.000,6.86
campaign_52,creative_159,7,68.58,1.000,9.80
campaign_531,creative_1211,2,68.57,1.000,34.28
campaign_454,creative_1040,8,68.41,0.929,8.55
campaign_295,creative_696,3,68.35,1.000,22.78
campaign_302,creative_721,4,68.31,1.000,17.08
campaign_529,creative_1206,2,68.26,1.000,34.13
campaign_24,creative_65,36,68.26,0.972,1.90
campaign_98,creative_266,6,68.20,1.000,11.37
campaign_81,creative_242,7,68.17,1.000,9.74
campaign_351,creative_823,5,68.11,1.000,13.62
campaign_454,creative_1039,3,68.07,1.000,22.69
campaign_276,creative_658,1,67.86,1.000,67.86
campaign_203,creative_325,1,67.81,1.000,67.81
campaign_279,creative_670,1,67.81,1.000,67.81
campaign_16,creative_36,9,67.79,0.429,7.53
campaign_548,creative_1257,1,67.76,1.000,67.76
campaign_353,creative_839,1,67.76,1.000,67.76
campaign_165,creative_444,1,67.76,1.000,67.76
campaign_329,creative_509,1,67.76,1.000,67.76
campaign_368,creative_792,1,67.76,1.000,67.76
campaign_82,creative_247,2,67.73,1.000,33.86
campaign_363,creative_860,2,67.73,1.000,33.86
campaign_456,creative_523,4,67.69,1.000,16.92
campaign_528,creative_1205,1,67.44,1.000,67.44
campaign_557,creative_1272,1,67.43,1.000,67.43
campaign_349,creative_822,3,67.37,1.000,22.46
campaign_419,creative_957,4,67.23,1.000,16.81
campaign_566,creative_1303,2,67.12,1.000,33.56
campaign_336,creative_802,5,66.85,1.000,13.37
campaign_545,creative_1246,1,66.81,1.000,66.81
campaign_58,creative_172,3,66.71,1.000,22.24
campaign_223,creative_569,1,66.55,1.000,66.55
campaign_126,creative_337,2,66.53,1.000,33.26
campaign_382,creative_887,2,66.52,1.000,33.26
campaign_91,creative_253,2,66.50,1.000,33.25
campaign_198,creative_532,1,66.32,1.000,66.32
campaign_308,creative_463,1,66.32,1.000,66.32
campaign_73,creative_213,2,66.28,1.000,33.14
campaign_522,creative_1188,2,66.27,1.000,33.13
campaign_100,creative_57,2,66.27,1.000,33.13
campaign_205,creative_332,4,66.24,1.000,16.56
campaign_309,creative_736,9,66.13,0.889,7.35
campaign_99,creative_270,2,66.02,1.000,33.01
campaign_103,creative_62,7,66.01,1.000,9.43
campaign_173,creative_475,7,65.91,1.000,9.42
campaign_286,creative_678,3,65.90,1.000,21.97
campaign_173,creative_478,6,65.90,1.000,10.98
campaign_371,creative_730,1,65.68,1.000,65.68
campaign_563,creative_1307,2,65.67,1.000,32.84
campaign_185,creative_505,3,65.66,1.000,21.89
campaign_1,creative_3,2,65.64,1.000,32.82
campaign_35,creative_102,2,65.64,1.000,32.82
campaign_348,creative_822,9,65.53,1.000,7.28
campaign_353,creative_837,6,65.44,0.833,10.91
campaign_27,creative_75,14,65.42,0.857,4.67
campaign_41,creative_128,5,65.38,1.000,13.08
campaign_523,creative_1188,2,65.30,1.000,32.65
campaign_513,creative_1152,4,65.29,1.000,16.32
campaign_123,creative_328,2,65.28,1.000,32.64
campaign_278,creative_663,2,65.15,1.000,32.57
campaign_191,creative_526,2,65.15,1.000,32.57
campaign_364,creative_866,3,65.05,1.000,21.68
campaign_534,creative_1216,4,64.98,1.000,16.24
campaign_89,creative_45,4,64.98,1.000,16.25
campaign_478,creative_1106,2,64.87,1.000,32.43
campaign_459,creative_347,9,64.86,1.000,7.21
campaign_201,creative_343,8,64.83,1.000,8.10
campaign_351,creative_828,15,64.82,0.933,4.32
campaign_402,creative_924,2,64.79,1.000,32.40
campaign_307,creative_709,1,64.77,1.000,64.77
campaign_429,creative_968,1,64.77,1.000,64.77
campaign_372,creative_873,10,64.71,1.000,6.47
campaign_555,creative_1278,2,64.70,1.000,32.35
campaign_39,creative_121,1,64.64,1.000,64.64
campaign_173,creative_470,4,64.61,1.000,16.15
campaign_334,creative_743,16,64.61,1.000,4.04
campaign_173,creative_477,9,64.48,1.000,7.16
campaign_300,creative_711,2,64.33,1.000,32.16
campaign_91,creative_255,2,64.33,1.000,32.17
campaign_151,creative_399,1,64.16,1.000,64.16
campaign_91,creative_266,2,63.96,1.000,31.98
campaign_91,creative_257,4,63.89,1.000,15.97
campaign_354,creative_840,1,63.88,1.000,63.88
campaign_154,creative_413,3,63.84,1.000,21.28
campaign_488,creative_1119,3,63.72,1.000,21.24
campaign_591,creative_1363,1,63.71,1.000,63.71
campaign_291,creative_689,1,63.67,1.000,63.67
campaign_59,creative_178,2,63.64,1.000,31.82
campaign_503,creative_1145,3,63.64,0.667,21.21
campaign_428,creative_951,4,63.49,1.000,15.87
campaign_346,creative_818,3,63.48,1.000,21.16
campaign_287,creative_681,4,63.36,1.000,15.84
campaign_437,creative_1017,1,63.36,1.000,63.36
campaign_107,creative_282,11,63.27,1.000,5.75
campaign_417,creative_952,4,63.26,1.000,15.82
campaign_108,creative_279,5,63.19,1.000,12.64
campaign_338,creative_805,4,62.97,1.000,15.74
campaign_364,creative_862,2,62.97,1.000,31.49
campaign_559,creative_1289,1,62.93,1.000,62.93
campaign_41,creative_130,3,62.90,1.000,20.97
campaign_563,creative_1312,4,62.85,1.000,15.71
campaign_80,creative_240,1,62.84,1.000,62.84
campaign_117,creative_311,2,62.82,1.000,31.41
campaign_182,creative_463,5,62.80,1.000,12.56
campaign_331,creative_499,1,62.78,1.000,62.78
campaign_103,creative_274,1,62.67,1.000,62.67
campaign_183,creative_499,1,62.67,1.000,62.67
campaign_95,creative_249,3,62.63,1.000,20.88
campaign_182,creative_466,15,62.45,1.000,4.16
campaign_137,creative_353,1,62.37,1.000,62.37
campaign_453,creative_524,1,62.37,1.000,62.37
campaign_264,creative_636,1,62.37,1.000,62.37
campaign_24,creative_61,34,62.36,1.000,1.83
campaign_346,creative_817,3,62.33,1.000,20.78
campaign_99,creative_50,4,62.15,1.000,15.54
campaign_7,creative_16,1,62.14,1.000,62.14
campaign_179,creative_489,11,62.07,1.000,5.64
campaign_305,creative_466,7,61.97,1.000,8.85
campaign_327,creative_710,23,61.83,0.957,2.69
campaign_87,creative_249,7,61.70,1.000,8.81
campaign_452,creative_329,3,61.59,1.000,20.53
campaign_317,creative_754,11,61.58,1.000,5.60
campaign_122,creative_325,2,61.39,1.000,30.70
campaign_205,creative_522,2,61.39,1.000,30.70
campaign_467,creative_1075,2,61.39,1.000,30.70
campaign_100,creative_56,2,61.36,1.000,30.68
campaign_100,creative_54,3,61.33,1.000,20.44
campaign_504,creative_1140,29,61.32,1.000,2.11
campaign_523,creative_1184,2,61.31,1.000,30.66
campaign_173,creative_476,16,61.29,1.000,3.83
campaign_468,creative_1079,2,61.12,1.000,30.56
campaign_239,creative_590,2,61.09,1.000,30.54
campaign_152,creative_380,2,61.00,1.000,30.50
campaign_113,creative_297,2,60.96,1.000,30.48
campaign_156,creative_366,2,60.95,1.000,30.48
campaign_204,creative_343,3,60.91,1.000,20.30
campaign_204,creative_524,3,60.88,1.000,20.29
campaign_30,creative_84,2,60.85,1.000,30.42
campaign_349,creative_463,11,60.67,1.000,5.52
campaign_332,creative_510,5,60.62,1.000,12.12
campaign_101,creative_42,6,60.62,1.000,10.10
campaign_325,creative_778,2,60.61,1.000,30.31
campaign_350,creative_828,20,60.60,1.000,3.03
campaign_215,creative_541,1,60.57,1.000,60.57
campaign_138,creative_361,1,60.57,1.000,60.57
campaign_267,creative_639,3,60.57,0.500,20.19
campaign_195,creative_526,1,60.57,1.000,60.57
campaign_136,creative_326,3,60.54,1.000,20.18
campaign_237,creative_588,6,60.46,1.000,10.08
campaign_7,creative_7,10,60.18,1.000,6.02
campaign_44,creative_57,4,60.14,1.000,15.04
campaign_303,creative_726,2,60.12,1.000,30.06
campaign_506,creative_1157,6,59.97,1.000,10.00
campaign_241,creative_592,24,59.96,0.958,2.50
campaign_211,creative_541,1,59.92,1.000,59.92
campaign_194,creative_519,2,59.83,1.000,29.92
campaign_149,creative_386,2,59.82,1.000,29.91
campaign_21,creative_50,10,59.78,1.000,5.98
campaign_72,creative_208,1,59.64,1.000,59.64
campaign_107,creative_278,1,59.46,1.000,59.46
campaign_77,creative_232,1,59.44,1.000,59.44
campaign_210,creative_542,2,59.39,1.000,29.70
campaign_516,creative_1171,4,59.39,1.000,14.85
campaign_465,creative_1066,4,59.28,1.000,14.82
campaign_291,creative_687,6,59.25,1.000,9.87
campaign_111,creative_295,1,59.24,1.000,59.24
campaign_572,creative_724,2,59.24,1.000,29.62
campaign_99,creative_272,1,59.24,1.000,59.24
campaign_550,creative_1260,1,59.24,1.000,59.24
campaign_174,creative_478,1,59.24,1.000,59.24
campaign_331,creative_463,1,59.24,1.000,59.24
campaign_161,creative_431,1,59.24,1.000,59.24
campaign_338,creative_804,1,59.24,1.000,59.24
campaign_176,creative_482,1,59.24,1.000,59.24
campaign_87,creative_263,1,59.24,1.000,59.24
campaign_110,creative_291,1,59.24,1.000,59.24
campaign_176,creative_483,1,59.24,1.000,59.24
campaign_557,creative_1271,2,59.22,1.000,29.61
campaign_200,creative_339,3,59.13,1.000,19.71
campaign_550,creative_1261,8,59.12,1.000,7.39
campaign_343,creative_810,4,59.05,1.000,14.76
campaign_426,creative_965,1,58.87,1.000,58.87
campaign_226,creative_575,11,58.84,0.909,5.35
campaign_242,creative_592,49,58.70,1.000,1.20
campaign_244,creative_586,9,58.67,1.000,6.52
campaign_132,creative_338,2,58.64,1.000,29.32
campaign_545,creative_1235,4,58.61,1.000,14.65
campaign_30,creative_86,1,58.54,1.000,58.54
campaign_344,creative_812,1,58.46,1.000,58.46
campaign_548,creative_1258,1,58.46,1.000,58.46
campaign_259,creative_623,3,58.45,0.667,19.48
campaign_526,creative_1200,2,58.45,1.000,29.23
campaign_524,creative_1195,2,58.45,1.000,29.23
campaign_437,creative_992,1,58.29,1.000,58.29
campaign_79,creative_238,6,58.28,1.000,9.71
campaign_395,creative_915,1,58.18,1.000,58.18
campaign_247,creative_597,4,58.07,1.000,14.52
campaign_332,creative_746,18,58.07,1.000,3.23
campaign_3,creative_6,4,57.94,0.333,14.48
campaign_49,creative_143,1,57.91,1.000,57.91
campaign_49,creative_146,1,57.91,1.000,57.91
campaign_46,creative_141,1,57.91,1.000,57.91
campaign_50,creative_149,1,57.91,1.000,57.91
campaign_50,creative_148,1,57.91,1.000,57.91
campaign_217,creative_554,2,57.85,1.000,28.92
campaign_350,creative_827,2,57.66,1.000,28.83
campaign_354,creative_835,2,57.66,1.000,28.83
campaign_25,creative_69,2,57.66,1.000,28.83
campaign_306,creative_732,2,57.66,1.000,28.83
campaign_16,creative_37,2,57.66,1.000,28.83
campaign_106,creative_281,2,57.59,1.000,28.79
campaign_192,creative_523,1,57.55,1.000,57.55
campaign_556,creative_1281,1,57.55,1.000,57.55
campaign_184,creative_505,9,57.55,1.000,6.39
campaign_148,creative_379,4,57.55,1.000,14.39
campaign_201,creative_526,9,57.39,1.000,6.38
campaign_453,creative_1043,3,57.37,1.000,19.12
campaign_423,creative_945,3,57.36,1.000,19.12
campaign_53,creative_154,5,57.29,1.000,11.46
campaign_170,creative_458,3,57.27,1.000,19.09
campaign_212,creative_545,1,57.25,1.000,57.25
campaign_9,creative_27,1,57.25,1.000,57.25
campaign_199,creative_427,6,56.97,1.000,9.49
campaign_459,creative_1047,2,56.91,1.000,28.45
campaign_254,creative_610,8,56.88,1.000,7.11
campaign_243,creative_593,40,56.88,1.000,1.42
campaign_460,creative_332,8,56.86,1.000,7.11
campaign_367,creative_501,8,56.77,1.000,7.10
campaign_17,creative_40,1,56.62,1.000,56.62
campaign_401,creative_922,15,56.46,1.000,3.76
campaign_123,creative_331,3,56.39,0.667,18.80
campaign_131,creative_339,2,56.39,1.000,28.20
campaign_66,creative_199,2,56.39,1.000,28.20
campaign_15,creative_34,5,56.38,0.800,11.28
campaign_25,creative_70,31,56.37,0.968,1.82
campaign_364,creative_508,3,56.28,1.000,18.76
campaign_306,creative_466,11,56.21,1.000,5.11
campaign_348,creative_463,7,56.13,1.000,8.02
campaign_5,creative_3,3,56.13,1.000,18.71
campaign_41,creative_125,1,56.04,1.000,56.04
campaign_232,creative_580,4,56.02,1.000,14.00
campaign_259,creative_627,6,56.01,1.000,9.34
campaign_459,creative_1053,4,55.95,1.000,13.99
campaign_193,creative_521,3,55.86,0.500,18.62
campaign_145,creative_370,2,55.86,1.000,27.93
campaign_302,creative_719,2,55.86,1.000,27.93
campaign_124,creative_331,2,55.86,1.000,27.93
campaign_142,creative_366,2,55.86,1.000,27.93
campaign_222,creative_567,2,55.86,1.000,27.93
campaign_140,creative_358,2,55.86,1.000,27.93
campaign_329,creative_501,3,55.71,1.000,18.57
campaign_145,creative_374,2,55.70,1.000,27.85
campaign_276,creative_656,2,55.70,1.000,27.85
campaign_456,creative_1041,3,55.68,1.000,18.56
campaign_332,creative_789,5,55.66,1.000,11.13
campaign_153,creative_406,3,55.58,1.000,18.53
campaign_21,creative_48,10,55.52,1.000,5.55
campaign_477,creative_1105,1,55.46,1.000,55.46
campaign_557,creative_1283,1,55.46,1.000,55.46
campaign_570,creative_1312,2,55.41,1.000,27.71
campaign_189,creative_519,2,55.41,1.000,27.71
campaign_232,creative_573,12,55.41,1.000,4.62
campaign_220,creative_561,2,55.41,1.000,27.71
campaign_207,creative_519,6,55.26,1.000,9.21
campaign_441,creative_1027,1,55.07,1.000,55.07
campaign_98,creative_258,1,55.07,1.000,55.07
campaign_467,creative_1076,4,55.01,1.000,13.75
campaign_504,creative_1148,21,54.94,1.000,2.62
campaign_374,creative_875,1,54.93,1.000,54.93
campaign_180,creative_496,2,54.88,1.000,27.44
campaign_24,creative_63,1,54.86,1.000,54.86
campaign_441,creative_1028,1,54.75,1.000,54.75
campaign_429,creative_927,11,54.69,1.000,4.97
campaign_119,creative_318,2,54.61,1.000,27.30
campaign_565,creative_1317,2,54.60,1.000,27.30
campaign_187,creative_510,2,54.59,0.500,27.30
campaign_373,creative_874,1,54.59,1.000,54.59
campaign_571,creative_1332,1,54.59,1.000,54.59
campaign_245,creative_593,10,54.54,0.900,5.45
campaign_149,creative_385,2,54.48,1.000,27.24
campaign_221,creative_563,2,54.36,1.000,27.18
campaign_8,creative_25,3,54.23,1.000,18.08
campaign_116,creative_307,2,54.17,1.000,27.08
campaign_375,creative_876,2,54.17,1.000,27.08
campaign_261,creative_630,8,54.04,1.000,6.75
campaign_560,creative_1294,1,53.91,1.000,53.91
campaign_56,creative_160,6,53.91,1.000,8.98
campaign_440,creative_1025,1,53.91,1.000,53.91
campaign_346,creative_816,5,53.88,1.000,10.78
campaign_496,creative_1128,3,53.79,1.000,17.93
campaign_275,creative_653,1,53.73,1.000,53.73
campaign_71,creative_204,1,53.73,1.000,53.73
campaign_520,creative_1183,16,53.68,1.000,3.35
campaign_23,creative_58,15,53.65,1.000,3.58
campaign_296,creative_698,2,53.64,1.000,26.82
campaign_493,creative_1112,2,53.62,1.000,26.81
campaign_475,creative_1101,3,53.55,1.000,17.85
campaign_184,creative_503,8,53.51,1.000,6.69
campaign_307,creative_708,1,53.48,1.000,53.48
campaign_332,creative_790,18,53.45,1.000,2.97
campaign_190,creative_522,1,53.45,1.000,53.45
campaign_299,creative_708,3,53.42,1.000,17.81
campaign_498,creative_1131,5,53.20,0.800,10.64
campaign_498,creative_1137,4,53.20,1.000,13.30
campaign_152,creative_379,2,53.08,1.000,26.54
campaign_295,creative_695,2,53.01,1.000,26.51
campaign_364,creative_865,22,52.96,0.955,2.41
campaign_278,creative_661,2,52.96,1.000,26.48
campaign_199,creative_428,6,52.95,1.000,8.82
campaign_356,creative_843,1,52.93,1.000,52.93
campaign_189,creative_520,2,52.73,1.000,26.36
campaign_8,creative_23,2,52.58,1.000,26.29
campaign_324,creative_772,1,52.51,1.000,52.51
campaign_338,creative_746,22,52.48,1.000,2.39
campaign_77,creative_229,9,52.44,1.000,5.83
campaign_67,creative_198,1,52.35,1.000,52.35
campaign_250,creative_601,39,52.29,0.974,1.34
campaign_512,creative_1154,22,52.28,1.000,2.38
campaign_96,creative_269,1,52.23,1.000,52.23
campaign_557,creative_1285,1,52.23,1.000,52.23
campaign_449,creative_335,2,52.16,1.000,26.08
campaign_543,creative_1232,1,52.09,1.000,52.09
campaign_119,creative_317,2,51.97,1.000,25.98
campaign_470,creative_1088,1,51.96,1.000,51.96
campaign_521,creative_623,1,51.88,1.000,51.88
campaign_154,creative_409,2,51.75,1.000,25.87
campaign_2,creative_4,2,51.56,1.000,25.78
campaign_448,creative_327,2,51.56,1.000,25.78
campaign_538,creative_1220,2,51.56,1.000,25.78
campaign_191,creative_339,2,51.56,1.000,25.78
campaign_179,creative_487,6,51.45,1.000,8.57
campaign_470,creative_1067,4,51.27,1.000,12.82
campaign_325,creative_774,3,51.26,1.000,17.09
campaign_586,creative_1353,2,51.25,1.000,25.62
campaign_498,creative_1135,25,51.17,0.960,2.05
campaign_551,creative_1266,1,51.12,1.000,51.12
campaign_508,creative_1163,65,51.06,0.985,0.79
campaign_79,creative_225,6,50.91,1.000,8.48
campaign_174,creative_477,8,50.87,0.750,6.36
campaign_183,creative_501,6,50.78,1.000,8.46
campaign_242,creative_583,1,50.77,1.000,50.77
campaign_499,creative_1140,1,50.77,1.000,50.77
campaign_392,creative_913,1,50.59,1.000,50.59
campaign_259,creative_624,2,50.59,1.000,25.30
campaign_236,creative_586,11,50.56,0.909,4.60
campaign_233,creative_573,11,50.55,0.909,4.60
campaign_539,creative_1222,3,50.54,1.000,16.85
campaign_421,creative_960,1,50.50,1.000,50.50
campaign_516,creative_1170,11,50.46,0.909,4.59
campaign_246,creative_598,63,50.43,0.968,0.80
campaign_296,creative_701,1,50.41,1.000,50.41
campaign_555,creative_1280,1,50.41,1.000,50.41
campaign_139,creative_351,1,50.41,1.000,50.41
campaign_271,creative_643,1,50.41,1.000,50.41
campaign_542,creative_1230,1,50.41,1.000,50.41
campaign_455,creative_1041,1,50.41,1.000,50.41
campaign_202,creative_520,1,50.41,1.000,50.41
campaign_557,creative_1268,1,50.41,1.000,50.41
campaign_36,creative_106,1,50.41,1.000,50.41
campaign_63,creative_175,1,50.41,1.000,50.41
campaign_567,creative_1320,1,50.41,1.000,50.41
campaign_152,creative_386,1,50.41,1.000,50.41
campaign_182,creative_497,9,50.33,1.000,5.59
campaign_205,creative_324,6,50.18,1.000,8.36
campaign_430,creative_970,2,50.04,1.000,25.02
campaign_245,creative_584,114,49.94,0.974,0.44
campaign_263,creative_633,2,49.92,1.000,24.96
campaign_165,creative_445,1,49.86,1.000,49.86
campaign_10,creative_28,1,49.86,1.000,49.86
campaign_504,creative_1147,11,49.78,1.000,4.53
campaign_508,creative_1162,12,49.78,1.000,4.15
campaign_311,creative_737,2,49.67,1.000,24.83
campaign_495,creative_1125,2,49.67,1.000,24.83
campaign_501,creative_1143,2,49.66,1.000,24.83
campaign_77,creative_230,2,49.62,1.000,24.81
campaign_318,creative_752,5,49.46,1.000,9.89
campaign_548,creative_1253,4,49.45,1.000,12.36
campaign_462,creative_324,7,49.31,1.000,7.04
campaign_518,creative_1174,31,49.29,1.000,1.59
campaign_459,creative_1050,3,48.96,1.000,16.32
campaign_241,creative_593,3,48.95,1.000,16.32
campaign_249,creative_604,17,48.81,1.000,2.87
campaign_249,creative_602,18,48.77,0.944,2.71
campaign_432,creative_985,4,48.64,0.667,12.16
campaign_152,creative_377,3,48.61,1.000,16.20
campaign_173,creative_474,1,48.60,1.000,48.60
campaign_156,creative_390,1,48.60,1.000,48.60
campaign_428,creative_967,1,48.60,1.000,48.60
campaign_250,creative_604,68,48.42,0.956,0.71
campaign_59,creative_182,2,48.40,1.000,24.20
campaign_222,creative_563,2,48.40,1.000,24.20
campaign_519,creative_1181,15,48.21,1.000,3.21
campaign_195,creative_339,2,48.09,0.500,24.04
campaign_236,creative_585,54,48.04,0.926,0.89
campaign_38,creative_120,1,47.99,1.000,47.99
campaign_304,creative_728,1,47.95,1.000,47.95
campaign_307,creative_731,1,47.95,1.000,47.95
campaign_318,creative_758,1,47.95,1.000,47.95
campaign_77,creative_227,1,47.95,1.000,47.95
campaign_307,creative_466,1,47.92,1.000,47.92
campaign_353,creative_832,1,47.92,1.000,47.92
campaign_506,creative_1158,12,47.78,1.000,3.98
campaign_290,creative_683,1,47.59,1.000,47.59
campaign_152,creative_381,1,47.59,1.000,47.59
campaign_455,creative_325,1,47.59,1.000,47.59
campaign_246,creative_595,8,47.53,1.000,5.94
campaign_281,creative_672,2,47.45,1.000,23.72
campaign_491,creative_1070,1,47.45,1.000,47.45
campaign_203,creative_339,5,47.44,1.000,9.49
campaign_321,creative_761,3,47.28,1.000,15.76
campaign_52,creative_154,3,47.25,1.000,15.75
campaign_470,creative_1089,1,47.18,1.000,47.18
campaign_474,creative_1097,1,47.18,1.000,47.18
campaign_473,creative_1095,1,47.18,1.000,47.18
campaign_490,creative_1071,1,47.18,1.000,47.18
campaign_471,creative_1069,1,47.18,1.000,47.18
campaign_471,creative_1091,1,47.18,1.000,47.18
campaign_450,creative_335,3,47.14,1.000,15.71
campaign_24,creative_60,16,47.08,1.000,2.94
campaign_87,creative_262,1,47.06,1.000,47.06
campaign_410,creative_937,2,47.06,1.000,23.53
campaign_100,creative_138,2,47.04,1.000,23.52
campaign_311,creative_738,1,47.04,1.000,47.04
campaign_439,creative_1023,1,46.94,1.000,46.94
campaign_65,creative_197,1,46.89,1.000,46.89
campaign_505,creative_1152,97,46.85,0.938,0.48
campaign_586,creative_1352,1,46.84,1.000,46.84
campaign_505,creative_1154,18,46.83,1.000,2.60
